Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Oscar Fantenberg,VAN,L,D,1991-10-07,Ljunby,--,SWE,SWE,72,206,--,--,--,20172018,N,23,0,1,1
Joel Farabee,PHI,L,L,2000-02-25,Syracuse,NY,USA,USA,72,164,2018,1,14,20192020,N,12,3,2,5
Jesper Fast,NYR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,18,3,4,7
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,217,2010,2,37,20182019,N,24,2,7,9
Taylor Fedun,DAL,R,D,1988-06-04,Edmonton,AB,CAN,CAN,73,200,--,--,--,20182019,N,18,0,0,0
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,200,2018,2,46,20192020,N,2,0,0,0
Eric Fehr,--,R,C,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,1,18,20072008,N,33,4,2,6
Micheal Ferland,VAN,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,13,0,1,1
Kevin Fiala,MIN,L,L,1996-07-22,St. Gallen,--,CHE,CHE,70,193,2014,1,11,20142015,N,21,8,2,10
Vernon Fiddler,--,L,C,1980-05-09,Edmonton,AB,CAN,CAN,71,205,--,--,--,20052006,N,22,2,3,5
Valtteri Filppula,DET,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20062007,N,31,2,12,14
Christian Fischer,ARI,R,R,1997-04-15,Chicago,IL,USA,USA,74,214,2015,2,32,20192020,N,9,0,1,1
Mike Fisher,--,R,C,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,2,44,20002001,N,46,6,6,12
Tomas Fleischmann,--,L,L,1984-05-16,Koprivnice,--,CZE,CZE,73,192,2002,2,63,20072008,N,4,0,0,0
Haydn Fleury,CAR,L,D,1996-07-08,Carlyle,SK,CAN,CAN,75,208,2014,1,7,20182019,N,17,2,0,2
Brian Flynn,--,R,C,1988-07-26,Lynnfield,MA,USA,USA,73,183,--,--,--,20142015,N,1,0,0,0
Warren Foegele,CAR,L,L,1996-04-01,Markham,ON,CAN,CAN,74,198,2014,3,67,20182019,N,23,6,4,10
Steven Fogarty,NYR,R,C,1993-04-19,Chambersburg,PA,USA,USA,75,208,2011,3,72,20192020,N,1,0,0,0
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,224,2009,4,104,20172018,N,9,1,1,2
Nick Foligno,CBJ,L,L,1987-10-31,Buffalo,NY,USA,USA,72,208,2006,1,28,20072008,N,30,5,9,14
Christian Folin,MTL,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20162017,N,6,0,0,0
Justin Fontaine,--,R,R,1987-11-06,Bonnyville,AB,CAN,CAN,70,174,--,--,--,20132014,N,4,0,0,0
Derek Forbort,CGY,L,D,1992-03-04,Duluth,MN,USA,USA,76,219,2010,1,15,20192020,N,10,1,1,2
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20142015,N,59,22,21,43
Liam Foudy,CBJ,L,C,2000-02-04,Scarborough,ON,CAN,CAN,74,182,2018,1,18,20192020,N,10,1,1,2
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,73,207,2010,1,12,20102011,N,20,3,9,12
Adam Fox,NYR,R,D,1998-02-17,Jericho,NY,USA,USA,71,181,2016,3,66,20192020,N,3,0,0,0
Michael Frolik,BUF,L,R,1988-02-17,Kladno,--,CZE,CZE,73,190,2006,1,10,20102011,N,9,0,1,1
Marian Gaborik,OTT,L,R,1982-02-14,Trencin,--,SVK,SVK,73,200,2000,1,3,20022003,N,4,0,1,1
Kurtis Gabriel,PHI,R,R,1993-04-20,Newmarket,ON,CAN,CAN,76,200,2013,3,81,20152016,N,4,0,0,0
Sam Gagner,DET,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20152016,N,11,0,4,4
Alex Galchenyuk,MIN,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,207,2012,1,3,20122013,N,10,0,3,3
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,184,2010,5,147,20122013,N,15,2,5,7
Dylan Gambrell,SJS,R,C,1996-08-26,Bonney Lake,WA,USA,USA,72,185,2016,2,60,20182019,N,2,1,0,1
Ryan Garbutt,--,L,C,1985-08-12,Edmonton,AB,CAN,CAN,72,195,--,--,--,20132014,N,7,1,0,1
Jake Gardiner,CAR,L,D,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,1,17,20122013,N,26,1,7,8
Conor Garland,ARI,R,R,1996-03-11,Scituate,MA,USA,USA,70,165,2015,5,123,20192020,N,8,1,1,2
Jason Garrison,--,L,D,1984-11-13,White Rock,BC,CAN,CAN,73,218,--,--,--,20112012,N,17,1,6,7
Adam Gaudette,VAN,R,C,1996-10-03,Braintree,MA,USA,USA,73,170,2015,5,149,20192020,N,10,0,0,0
Frederick Gaudreau,NSH,R,C,1993-05-01,Bromont,QC,CAN,CAN,72,179,--,--,--,20162017,N,8,3,0,3
Johnny Gaudreau,CGY,L,L,1993-08-13,Salem,NJ,USA,USA,69,165,2011,4,104,20142015,N,19,4,6,10
Paul Gaustad,--,L,C,1982-02-03,Fargo,ND,USA,USA,77,227,2000,7,220,20052006,N,14,1,0,1
Frederik Gauthier,TOR,L,C,1995-04-26,Laval,QC,CAN,CAN,77,239,2013,1,21,20182019,N,8,0,0,0
Julien Gauthier,NYR,R,R,1997-10-15,Pointe-aux-Trembles,QC,CAN,CAN,76,227,2016,1,21,20192020,N,3,0,0,0
Vladislav Gavrikov,CBJ,L,D,1995-11-21,Yaroslavl,--,RUS,RUS,75,213,2015,6,159,20182019,N,12,1,2,3
Morgan Geekie,CAR,R,C,1998-07-20,Strathclair,MB,CAN,CAN,75,192,2017,3,67,20192020,N,8,0,1,1
Nathan Gerbe,CBJ,L,C,1987-07-24,Oxford,MI,USA,USA,64,169,2005,5,142,20092010,N,2,0,0,0
Shane Gersich,WSH,L,L,1996-07-10,Chaska,MN,USA,USA,72,180,2014,5,134,20172018,N,2,0,0,0
Ryan Getzlaf,ANA,R,C,1985-05-10,Regina,SK,CAN,CAN,75,228,2003,1,19,20052006,N,28,10,16,26
Brian Gibbons,CAR,L,C,1988-02-26,Braintree,MA,USA,USA,68,175,--,--,--,20132014,N,2,0,0,0
Brian Gionta,--,R,R,1979-01-18,Rochester,NY,USA,USA,67,178,1998,3,82,20012002,N,1,0,0,0
Mark Giordano,CGY,L,D,1983-10-03,Toronto,ON,CAN,CAN,73,200,--,--,--,20062007,N,19,0,6,6
Samuel Girard,COL,L,D,1998-05-12,Roberval,QC,CAN,CAN,70,170,2016,2,47,20172018,N,27,1,11,12
Dan Girardi,--,R,D,1984-04-29,Welland,ON,CAN,CAN,73,212,--,--,--,20062007,N,35,2,4,6
Claude Giroux,PHI,R,C,1988-01-12,Hearst,ON,CAN,CAN,71,185,2006,1,22,20082009,N,28,2,10,12
Tanner Glass,--,L,L,1983-11-29,Regina,SK,CAN,CAN,73,213,2003,9,265,20092010,N,11,1,3,4
Luke Glendening,DET,R,C,1989-04-28,Grand Rapids,MI,USA,USA,71,191,--,--,--,20132014,N,5,0,1,1
Alex Goligoski,ARI,L,D,1985-07-30,Grand Rapids,MN,USA,USA,71,185,2004,2,61,20082009,N,22,4,3,7
Barclay Goodrow,TBL,L,C,1993-02-26,Toronto,ON,CAN,CAN,74,215,--,--,--,20172018,N,44,3,5,8
Shayne Gostisbehere,PHI,L,D,1993-04-20,Pembroke Pines,FL,USA,USA,71,180,2012,3,78,20152016,N,17,2,3,5
Yanni Gourde,TBL,L,C,1991-12-15,Saint-Narcisse,QC,CAN,CAN,69,175,--,--,--,20172018,N,43,9,12,21
Michael Grabner,ARI,L,L,1987-10-05,Villach,--,AUT,AUT,73,188,2006,1,14,20092010,N,23,7,2,9
Mikael Granlund,NSH,L,C,1992-02-26,Oulu,--,FIN,FIN,70,185,2010,1,9,20132014,N,26,3,8,11
Derek Grant,PHI,L,C,1990-04-20,Abbotsford,BC,CAN,CAN,75,206,2008,4,119,20172018,N,19,0,2,2
Kevin Gravel,TOR,L,D,1992-03-06,Kingsford,MI,USA,USA,76,205,2010,5,148,20172018,N,1,0,0,0
Ryan Graves,COL,L,D,1995-05-21,Yarmouth,NS,CAN,CAN,77,220,2013,4,110,20192020,N,15,1,2,3
Mike Green,EDM,R,D,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,1,29,20072008,N,5,1,1,2
Andy Greene,NYI,L,D,1982-10-30,Trenton,MI,USA,USA,71,190,--,--,--,20062007,N,26,2,4,6
Jordan Greenway,MIN,L,L,1997-02-16,Canton,NY,USA,USA,78,225,2015,2,50,20172018,N,9,1,1,2
Rocco Grimaldi,NSH,R,R,1993-02-08,Anaheim,CA,USA,USA,66,180,2011,2,33,20152016,N,11,3,1,4
Eric Gryba,--,R,D,1988-04-14,Saskatoon,SK,CAN,CAN,76,222,2006,3,68,20122013,N,3,0,0,0
Matt Grzelcyk,BOS,L,D,1994-01-05,Charlestown,MA,USA,USA,69,174,2012,3,85,20172018,N,43,4,6,10
Radko Gudas,WSH,R,D,1990-06-05,Prague,--,CZE,CZE,72,205,2010,3,66,20132014,N,17,0,2,2
Erik Gudbranson,ANA,R,D,1992-01-07,Ottawa,ON,CAN,CAN,77,217,2010,1,3,20112012,N,10,1,0,1
Jake Guentzel,PIT,L,L,1994-10-06,Omaha,NE,USA,USA,71,180,2013,3,77,20162017,N,45,25,21,46
Carl Gunnarsson,STL,L,D,1986-11-09,Orebro,--,SWE,SWE,74,198,2007,7,194,20122013,N,55,1,5,6
Denis Gurianov,DAL,L,R,1997-06-07,Togliatti,--,RUS,RUS,75,200,2015,1,12,20192020,N,24,9,8,17
Erik Gustafsson,CGY,L,D,1992-03-14,Nynashamn,--,SWE,SWE,72,197,2012,4,93,20152016,N,15,0,5,5
Gaetan Haas,EDM,R,C,1992-01-31,Biel-Bienne,--,CHE,CHE,72,181,--,--,--,20192020,N,1,0,0,0
Carl Hagelin,WSH,L,L,1988-08-23,Sodertalje,--,SWE,SWE,72,185,2007,6,168,20112012,N,63,10,13,23
Robert Hagg,PHI,L,D,1995-02-08,Uppsala,--,SWE,SWE,74,204,2013,2,41,20172018,N,14,0,3,3
Ron Hainsey,OTT,L,D,1981-03-24,Bolton,CT,USA,USA,75,201,2000,1,13,20162017,N,39,2,8,10
Micheal Haley,NYR,L,C,1986-03-30,Guelph,ON,CAN,CAN,71,202,--,--,--,20122013,N,11,0,0,0
Taylor Hall,ARI,L,L,1991-11-14,Calgary,AB,CAN,CAN,73,205,2010,1,1,20172018,N,14,4,8,12
Dan Hamhuis,NSH,L,D,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,1,12,20032004,N,6,0,0,0
Dougie Hamilton,CAR,R,D,1993-06-17,Toronto,ON,CAN,CAN,78,229,2011,1,9,20122013,N,24,4,6,10
Freddie Hamilton,--,R,C,1992-01-01,Toronto,ON,CAN,CAN,73,195,2010,5,129,20162017,N,1,0,0,0
Travis Hamonic,CGY,R,D,1990-08-16,St. Malo,MB,CAN,CAN,74,205,2008,2,53,20122013,N,16,1,2,3
Noah Hanifin,CGY,L,D,1997-01-25,Boston,MA,USA,USA,75,215,2015,1,5,20182019,N,15,0,5,5
Joel Hanley,DAL,L,D,1991-06-08,Keswick,ON,CAN,CAN,71,190,--,--,--,20182019,N,10,1,1,2
Markus Hannikainen,ARI,L,L,1993-03-26,Helsinki,--,FIN,FIN,73,200,--,--,--,20182019,N,1,0,0,0
Jannik Hansen,--,R,R,1986-03-15,Rødovre,--,DNK,DNK,73,198,2004,9,287,20062007,N,6,0,1,1
Martin Hanzal,DAL,L,C,1987-02-20,Pisek,--,CZE,CZE,78,230,2005,1,17,20092010,N,5,1,0,1
Jansen Harkins,WPG,L,C,1997-05-23,Cleveland,OH,USA,USA,73,182,2015,2,47,20192020,N,3,1,0,1
Thomas Harley,DAL,L,D,2001-08-19,Syracuse,NY,USA,USA,75,190,2019,1,18,20192020,N,1,0,0,0
Ben Harpur,NSH,L,D,1995-01-12,Hamilton,ON,CAN,CAN,78,231,2013,4,108,20162017,N,9,0,2,2
Scott Harrington,CBJ,L,D,1993-03-10,Kingston,ON,CAN,CAN,74,204,2011,2,54,20162017,N,14,0,4,4
Ryan Hartman,MIN,R,R,1994-09-20,Hilton Head Isl.,SC,USA,USA,72,189,2013,1,30,20162017,N,17,2,1,3
Scott Hartnell,--,L,L,1982-04-18,Regina,SK,CAN,CAN,74,215,2000,1,6,20032004,N,8,0,0,0
Garnet Hathaway,WSH,R,R,1991-11-23,Kennebunkport,ME,USA,USA,75,210,--,--,--,20182019,N,13,0,0,0
Erik Haula,FLA,L,L,1991-03-23,Pori,--,FIN,FIN,72,193,2009,7,181,20132014,N,33,5,10,15
John Hayden,NJD,R,C,1995-02-14,Chicago,IL,USA,USA,75,215,2013,3,74,20162017,N,1,0,0,0
Kevin Hayes,PHI,L,C,1992-05-08,Dorchester,MA,USA,USA,77,216,2010,1,24,20142015,N,37,6,13,19
Barrett Hayton,ARI,L,C,2000-06-09,Peterborough,ON,CAN,CAN,73,190,2018,1,5,20192020,N,3,0,0,0
Dillon Heatherington,DAL,L,D,1995-05-09,Calgary,AB,CAN,CAN,76,220,2013,2,50,20182019,N,1,0,0,0
Victor Hedman,TBL,L,D,1990-12-18,Ornskoldsvik,--,SWE,SWE,78,229,2009,1,2,20102011,N,58,15,30,45
Tim Heed,SJS,R,D,1991-01-27,Gothenburg,--,SWE,SWE,71,180,2010,5,132,20182019,N,3,0,0,0
Danton Heinen,ANA,L,L,1995-07-05,Langley,BC,CAN,CAN,73,188,2014,4,116,20172018,N,33,3,6,9
Miro Heiskanen,DAL,L,D,1999-07-18,Espoo,--,FIN,FIN,73,190,2017,1,3,20182019,N,37,8,20,28
Darren Helm,DET,L,L,1987-01-21,St. Andrews,MB,CAN,CAN,72,192,2005,5,132,20072008,N,5,1,0,1
Ales Hemsky,--,R,R,1983-08-13,Pardubice,--,CZE,CZE,72,177,2001,1,13,20022003,N,13,1,3,4
Matt Hendricks,--,L,C,1981-06-17,Blaine,MN,USA,USA,72,211,2000,5,131,20092010,N,5,0,0,0
Adam Henrique,ANA,L,C,1990-02-06,Brantford,ON,CAN,CAN,72,188,2008,3,82,20112012,N,4,0,0,0
Tomas Hertl,SJS,L,C,1993-11-12,Praha,--,CZE,CZE,74,215,2012,1,17,20132014,N,55,22,15,37
Thomas Hickey,NYI,L,D,1989-02-08,Calgary,AB,CAN,CAN,72,183,2007,1,4,20122013,N,15,1,4,5
Matthew Highmore,CHI,L,C,1996-02-27,Halifax,NS,CAN,CAN,71,188,--,--,--,20192020,N,9,3,1,4
Vinnie Hinostroza,ARI,R,R,1994-04-03,Chicago,IL,USA,USA,69,173,2012,6,169,20162017,N,8,0,2,2
Roope Hintz,DAL,L,L,1996-11-17,Tampere,--,FIN,FIN,75,220,2015,2,49,20182019,N,37,7,14,21
Nico Hischier,NJD,L,C,1999-01-04,Brig,--,CHE,CHE,73,175,2017,1,1,20172018,N,5,1,0,1
Niklas Hjalmarsson,ARI,L,D,1987-06-06,Eksjo,--,SWE,SWE,75,197,2005,4,108,20082009,N,20,0,2,2
Mike Hoffman,FLA,L,L,1989-11-24,Kitchener,ON,CAN,CAN,72,182,2009,5,129,20142015,N,23,9,7,16
Nick Holden,VGK,L,D,1987-05-15,St. Albert,AB,CAN,CAN,76,212,--,--,--,20132014,N,33,2,4,6
Justin Holl,TOR,R,D,1992-01-30,Tonka Bay,MN,USA,USA,76,210,2010,2,54,20192020,N,5,0,0,0
Korbinian Holzer,NSH,R,D,1988-02-16,Munich,--,DEU,DEU,75,213,2006,4,111,20162017,N,5,0,0,0
Shawn Horcoff,--,L,C,1978-09-17,Trail,BC,CAN,CAN,73,210,1998,4,99,20002001,N,5,0,1,1
Patric Hornqvist,FLA,R,R,1987-01-01,Sollentuna,--,SWE,SWE,71,189,2005,7,230,20092010,N,61,20,15,35
Bo Horvat,VAN,L,C,1995-04-05,London,ON,CAN,CAN,72,215,2013,1,9,20142015,N,17,10,2,12
Marian Hossa,ARI,L,R,1979-01-12,Stará Lubovna,--,SVK,SVK,73,207,1997,1,12,19981999,N,11,3,2,5
Brett Howden,NYR,L,C,1998-03-29,Calgary,AB,CAN,CAN,75,197,2016,1,27,20192020,N,3,0,0,0
Jonathan Huberdeau,FLA,L,L,1993-06-04,Saint-Jerome,QC,CAN,CAN,73,202,2011,1,3,20152016,N,10,2,4,6
Jiri Hudler,--,L,R,1984-01-04,Olomouc,--,CZE,CZE,70,190,2002,2,58,20062007,N,6,0,1,1
Charles Hudon,MTL,L,L,1994-06-23,Alma,QC,CAN,CAN,70,190,2012,5,122,20192020,N,2,0,0,0
Quinn Hughes,VAN,L,D,1999-10-14,Orlando,FL,USA,USA,70,170,2018,1,7,20192020,N,17,2,14,16
Brad Hunt,MIN,L,D,1988-08-24,Maple Ridge,BC,CAN,CAN,69,176,--,--,--,20192020,N,4,0,0,0
Dryden Hunt,FLA,L,L,1995-11-24,Cranbrook,BC,CAN,CAN,72,193,--,--,--,20192020,N,2,0,0,0
Matt Hunwick,BUF,L,D,1985-05-21,Warren,MI,USA,USA,71,194,2004,7,224,20082009,N,6,0,1,1
Zach Hyman,TOR,R,L,1992-06-09,Toronto,ON,CAN,CAN,73,211,2010,5,123,20162017,N,25,4,8,12
Alex Iafallo,LAK,L,L,1993-12-21,Eden,NY,USA,USA,72,188,--,--,--,20172018,N,3,1,0,1
Matt Irwin,ANA,L,D,1987-11-29,Victoria,BC,CAN,CAN,73,207,--,--,--,20122013,N,34,0,2,2
Barret Jackman,--,L,D,1981-03-05,Trail,BC,CAN,CAN,72,203,1999,1,17,20012002,N,14,0,0,0
Jaromir Jagr,--,L,R,1972-02-15,Kladno,--,CZE,CZE,75,230,1990,1,5,19901991,N,6,0,2,2
Mark Jankowski,CGY,L,C,1994-09-13,Hamilton,ON,CAN,CAN,76,212,2012,1,21,20182019,N,10,0,0,0
Mattias Janmark,DAL,L,C,1992-12-08,Danderyd,--,SWE,SWE,73,195,2013,3,79,20152016,N,42,4,11,15
Calle Jarnkrok,NSH,R,C,1991-09-25,Gävle,--,SWE,SWE,71,186,2010,2,51,20142015,N,52,3,9,12
Dmitrij Jaskin,--,L,R,1993-03-23,Omsk,--,RUS,CZE,74,216,2011,2,41,20142015,N,8,2,1,3
Boone Jenner,CBJ,L,C,1993-06-15,Dorchester,ON,CAN,CAN,74,208,2011,2,37,20132014,N,31,5,5,10
Nick Jensen,WSH,R,D,1990-09-21,Rogers,MN,USA,USA,73,196,2009,5,149,20182019,N,15,0,0,0
Jakub Jerabek,--,L,D,1991-05-12,Pilsen,--,CZE,CZE,71,199,--,--,--,20172018,N,2,0,1,1
Ryan Johansen,NSH,R,C,1992-07-31,Vancouver,BC,CAN,CAN,75,218,2010,1,4,20132014,N,51,14,28,42
Marcus Johansson,MIN,L,C,1990-10-06,Landskrona,--,SWE,SWE,73,205,2009,1,24,20102011,N,50,8,18,26
Stephen Johns,DAL,R,D,1992-04-18,Ellwood City,PA,USA,USA,76,225,2010,2,60,20152016,N,17,0,0,0
Erik Johnson,COL,R,D,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,20132014,N,21,2,3,5
Jack Johnson,PIT,L,D,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,1,3,20092010,N,12,1,1,2
Tyler Johnson,TBL,R,C,1990-07-29,Spokane,WA,USA,USA,68,180,--,--,--,20132014,N,60,14,19,33
Andreas Johnsson,TOR,L,L,1994-11-21,Gävle,--,SWE,SWE,70,194,2013,7,202,20172018,N,14,2,4,6
Ross Johnston,NYI,L,L,1994-02-18,Charlottetown,PE,CAN,CAN,77,235,--,--,--,20192020,N,5,0,0,0
Jussi Jokinen,--,L,L,1983-04-01,Kalajoki,--,FIN,FIN,72,191,2001,6,192,20052006,N,6,1,3,4
Caleb Jones,EDM,L,D,1997-06-06,Arlington,TX,USA,USA,73,194,2015,4,117,20192020,N,2,0,0,0
David Jones,--,R,R,1984-08-10,Guelph,ON,CAN,CAN,75,208,2003,9,288,20072008,N,6,0,1,1
Seth Jones,CBJ,R,D,1994-10-03,Arlington,TX,USA,USA,76,209,2013,1,4,20142015,N,31,5,15,20
Mathieu Joseph,TBL,L,R,1997-02-09,Laval,QC,CAN,CAN,73,190,2015,4,120,20182019,N,4,0,0,0
Roman Josi,NSH,L,D,1990-06-01,Bern,--,CHE,CHE,73,201,2008,2,38,20112012,N,59,9,26,35
Tyson Jost,COL,L,C,1998-03-14,St. Albert,AB,CAN,CAN,71,187,2016,1,10,20172018,N,30,4,2,6
Olli Juolevi,VAN,L,D,1998-05-05,Helsinki,--,FIN,FIN,74,182,2016,1,5,20192020,N,1,0,0,0
Nazem Kadri,COL,L,C,1990-10-06,London,ON,CAN,CAN,72,192,2009,1,7,20122013,N,27,11,13,24
Kaapo Kakko,NYR,L,R,2001-02-13,Turku,--,FIN,FIN,75,199,2019,1,2,20192020,N,3,0,0,0
David Kampf,CHI,L,C,1995-01-12,Chomutov,--,CZE,CZE,74,188,--,--,--,20192020,N,9,1,0,1
Steven Kampfer,BOS,R,D,1988-09-24,Ann Arbor,MI,USA,USA,71,198,2007,4,93,20182019,N,3,1,0,1
Evander Kane,SJS,L,L,1991-08-02,Vancouver,BC,CAN,CAN,74,210,2009,1,4,20172018,N,29,6,7,13
Patrick Kane,CHI,L,R,1988-11-19,Buffalo,NY,USA,USA,70,177,2007,1,1,20082009,N,20,4,14,18
Kasperi Kapanen,PIT,R,R,1996-07-23,Kuopio,--,FIN,FIN,73,194,2014,1,22,20162017,N,25,4,3,7
Erik Karlsson,SJS,R,D,1990-05-31,Landsbro,--,SWE,SWE,72,190,2008,1,15,20092010,N,38,4,30,34
Melker Karlsson,SJS,R,C,1990-07-18,Lycksele,--,SWE,SWE,72,180,--,--,--,20152016,N,60,6,8,14
William Karlsson,VGK,L,C,1993-01-08,Marsta,--,SWE,SWE,72,195,2011,2,53,20162017,N,52,15,18,33
Ondrej Kase,BOS,R,R,1995-11-08,Kadan,--,CZE,CZE,72,190,2014,7,205,20162017,N,24,2,4,6
Zack Kassian,EDM,R,R,1991-01-24,Windsor,ON,CAN,CAN,75,211,2009,1,13,20112012,N,17,3,0,3
Brady Keeper,FLA,R,D,1996-06-05,Cross Lake,MB,CAN,CAN,74,209,--,--,--,20192020,N,1,0,0,0
Duncan Keith,CHI,L,D,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,20082009,N,19,3,8,11
Clayton Keller,ARI,L,R,1998-07-29,Chesterfield,MO,USA,USA,70,170,2016,1,7,20192020,N,9,4,3,7
Chris Kelly,--,L,C,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,3,94,20052006,N,2,0,0,0
Adrian Kempe,LAK,L,C,1996-09-13,Kramfors,--,SWE,SWE,74,201,2014,1,29,20172018,N,4,0,0,0
Michal Kempny,WSH,L,D,1990-09-08,Hodonin,--,CZE,CZE,73,195,--,--,--,20162017,N,30,2,4,6
Nicolas Kerdiles,--,L,L,1994-01-11,Lewisville,TX,USA,USA,74,200,2012,2,36,20162017,N,4,0,1,1
Alexander Kerfoot,TOR,L,C,1994-08-11,Vancouver,BC,CAN,CAN,70,185,2012,5,150,20172018,N,23,2,6,8
Tanner Kero,DAL,L,C,1992-07-24,Hancock,MI,USA,USA,72,180,--,--,--,20162017,N,4,0,0,0
Ryan Kesler,ANA,R,C,1984-08-31,Livonia,MI,USA,USA,74,206,2003,1,23,20062007,N,28,5,9,14
Phil Kessel,ARI,R,R,1987-10-02,Madison,WI,USA,USA,72,202,2006,1,5,20072008,N,74,21,39,60
Jujhar Khaira,EDM,L,L,1994-08-13,Surrey,BC,CAN,CAN,76,212,2012,3,63,20192020,N,4,0,0,0
Alex Killorn,TBL,L,L,1989-09-14,Halifax,NS,CAN,CAN,73,198,2007,3,77,20132014,N,59,15,14,29
Jakub Kindl,--,L,D,1987-02-10,Sumperk,--,CZE,CZE,75,199,2005,1,19,20122013,N,1,0,0,0
Dwight King,--,L,L,1989-07-05,Meadow Lake,SK,CAN,CAN,76,229,2007,4,109,20112012,N,11,0,1,1
Joel Kiviranta,DAL,L,L,1996-03-23,Vantaa,--,FIN,FIN,71,180,--,--,--,20192020,N,11,5,1,6
Oscar Klefbom,EDM,L,D,1993-07-20,Karlstad,--,SWE,SWE,75,216,2011,1,19,20162017,N,16,2,5,7
Kevin Klein,--,R,D,1984-12-13,Kitchener,ON,CAN,CAN,73,206,2003,2,37,20092010,N,6,0,2,2
John Klingberg,DAL,R,D,1992-08-14,Gothenburg,--,SWE,SWE,75,190,2010,5,131,20152016,N,49,6,26,32
Slater Koekkoek,CHI,L,D,1994-02-18,Winchester,ON,CAN,CAN,74,193,2012,1,10,20152016,N,19,1,3,4
Mikko Koivu,MIN,L,C,1983-03-12,Turku,--,FIN,FIN,75,213,2001,1,6,20062007,N,20,4,7,11
Leo Komarov,NYI,L,R,1987-01-23,Narva,--,EST,FIN,71,209,2006,6,180,20122013,N,33,2,4,6
Travis Konecny,PHI,R,R,1997-03-11,London,ON,CAN,CAN,70,175,2015,1,24,20172018,N,22,1,7,8
Anze Kopitar,LAK,L,C,1987-08-24,Jesenice,--,SVN,SVN,75,225,2005,1,11,20092010,N,9,3,3,6
Jesperi Kotkaniemi,MTL,L,C,2000-07-06,Pori,--,FIN,FIN,74,198,2018,1,3,20192020,N,10,4,0,4
Ilya Kovalchuk,WSH,R,L,1983-04-15,Tver,--,RUS,RUS,75,222,2001,1,1,20062007,N,8,0,1,1
Chris Kreider,NYR,L,L,1991-04-30,Boxford,MA,USA,USA,75,217,2009,1,19,20112012,N,20,6,2,8
David Krejci,BOS,R,C,1986-04-28,Sternberk,--,CZE,CZE,72,188,2004,2,63,20072008,N,52,11,27,38
Niklas Kronwall,--,L,D,1981-01-12,Stockholm,--,SWE,SWE,72,194,2000,1,29,20052006,N,5,0,1,1
Torey Krug,BOS,L,D,1991-04-12,Livonia,MI,USA,USA,69,186,--,--,--,20122013,N,48,5,31,36
Marcus Kruger,--,L,C,1990-05-27,Stockholm,--,SWE,SWE,72,186,2009,5,148,20102011,N,11,0,2,2
Dominik Kubalik,CHI,L,L,1995-08-21,Plzen,--,CZE,CZE,74,179,2013,7,191,20192020,N,9,4,4,8
Nikita Kucherov,TBL,L,R,1993-06-17,Maykop,--,RUS,RUS,71,183,2011,2,58,20132014,N,59,25,43,68
Karson Kuhlman,BOS,R,C,1995-09-26,Esko,MN,USA,USA,71,185,--,--,--,20182019,N,13,1,2,3
Tom Kuhnhackl,NYI,L,R,1992-01-21,Landshut,--,DEU,DEU,74,196,2010,4,110,20152016,N,58,3,8,11
Dean Kukan,CBJ,L,D,1993-07-08,Volketswil,--,CHE,CHE,74,192,--,--,--,20182019,N,19,1,1,2
Brett Kulak,MTL,L,D,1994-01-06,Edmonton,AB,CAN,CAN,74,190,2012,4,105,20192020,N,10,0,3,3
Nikolay Kulemin,--,L,L,1986-07-14,Magnitogorsk,--,RUS,RUS,73,228,2006,2,44,20122013,N,11,1,3,4
Dmitry Kulikov,WPG,L,D,1990-10-29,Lipetsk,--,RUS,RUS,73,204,2009,1,14,20112012,N,17,1,5,6
Luke Kunin,MIN,R,C,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,1,15,20192020,N,4,2,0,2
Chris Kunitz,--,L,L,1979-09-26,Regina,SK,CAN,CAN,72,188,--,--,--,20052006,N,61,6,18,24
